Union/Municipalities,Upzila,District,Division,Country,AREA_SQKM
Ashulia,Savar,Dhaka,Dhaka,Bangladesh,27.16996718
Ashwadia,Noakhali Sadar (Sudharam),Noakhali,Chittagong,Bangladesh,19.75514089
Asia,Patiya,Chittagong,Chittagong,Bangladesh,7.042037341
Askarpur,Dinajpur Sadar,Dinajpur,Rangpur,Bangladesh,30.82797711
Aslampur,Char Fasson,Bhola,Barisal,Bangladesh,34.39959992
Asma,Barhatta,Netrakona,Mymensingh,Bangladesh,30.94110447
Assasuni,Assasuni,Satkhira,Khulna,Bangladesh,34.74907806
Asujia,Kendua,Netrakona,Mymensingh,Bangladesh,22.53104505
Atabaha,Kaliakair,Gazipur,Dhaka,Bangladesh,23.60894922
Ataikola,Pabna Sadar,Pabna,Rajshahi,Bangladesh,33.43555269
Ataikola,Santhia,Pabna,Rajshahi,Bangladesh,38.2476064
Atapur,Panchbibi,Joypurhat,Rajshahi,Bangladesh,36.73742524
Atbar Pur (Paschim Chandina),Chandina,Comilla,Chittagong,Bangladesh,6.888016457
Atgaon,Bochaganj,Dinajpur,Rangpur,Bangladesh,36.07843468
Atgaon,Sulla,Sunamganj,Sylhet,Bangladesh,65.28183702
Atghar,Saltha,Faridpur,Dhaka,Bangladesh,28.37252579
Atghar Kuriana,Nesarabad (Swarupkati),Pirojpur,Barisal,Bangladesh,19.5733838
Atgharia Paurashava,Atgharia,Pabna,Rajshahi,Bangladesh,2.640345877
Atharabari,Ishwarganj,Mymensingh,Mymensingh,Bangladesh,20.2106979
Atharagashia,Amtali,Barguna,Barisal,Bangladesh,34.4401933
Atharakhada,Magura Sadar,Magura,Khulna,Bangladesh,30.30443786
Atia,Delduar,Tangail,Dhaka,Bangladesh,23.06734341
Atigram,Manikganj Sadar,Manikganj,Dhaka,Bangladesh,21.36820887
Atjuri,Mollahat,Bagerhat,Khulna,Bangladesh,31.74825224
Atlia,Dumuria,Khulna,Khulna,Bangladesh,41.89402763
Atmul,Shibganj,Bogra,Rajshahi,Bangladesh,28.90103266
Atpara,Sreenagar,Munshiganj,Dhaka,Bangladesh,9.373087814
Atra Gilatala,Khan Jahan Ali,Khulna,Khulna,Bangladesh,17.46476316
Atulia,Shyamnagar,Satkhira,Khulna,Bangladesh,42.47119978
Auch Para,Baghmara,Rajshahi,Rajshahi,Bangladesh,26.21509427
Aulia Pukur,Chirirbandar,Dinajpur,Rangpur,Bangladesh,33.91860231
Auliapur,Patuakhali Sadar,Patuakhali,Barisal,Bangladesh,28.05396325
Auliapur,Dinajpur Sadar,Dinajpur,Rangpur,Bangladesh,34.79613756
Auliapur,Thakurgaon Sadar,Thakurgaon,Rangpur,Bangladesh,36.61036804
Auria,Narail Sadar,Narail,Khulna,Bangladesh,31.96630649
Auskandi,Nabiganj,Habiganj,Sylhet,Bangladesh,23.78220028
Ausnara,Madhupur,Tangail,Dhaka,Bangladesh,69.85736099
Austagram,Austagram,Kishoreganj,Dhaka,Bangladesh,13.48606065
Autshahi,Tongibari,Munshiganj,Dhaka,Bangladesh,10.50693793
Ayla Patakata,Barguna Sadar,Barguna,Barisal,Bangladesh,32.21148775
Aymarasulpur,Panchbibi,Joypurhat,Rajshahi,Bangladesh,28.74380481
Ayubpur,Shibpur,Narsingdi,Dhaka,Bangladesh,16.68309986
Azampur,Maheshpur,Jhenaidah,Khulna,Bangladesh,33.64502998
Azimnagar,Bhanga,Faridpur,Dhaka,Bangladesh,11.34811058
Azimnagar,Harirampur,Manikganj,Dhaka,Bangladesh,17.81370422
Azimpur,Sandwip,Chittagong,Chittagong,Bangladesh,19.35334683
Azimpur,Biral,Dinajpur,Rangpur,Bangladesh,31.5049956
Aziznagar,Lama,Bandarban,Chittagong,Bangladesh,26.09681818
Babra Hachla,Kalia,Narail,Khulna,Bangladesh,13.63921535
Babuchhara,Dighinala,Khagrachhari,Chittagong,Bangladesh,597.6013307
Babukhali,Mohammadpur,Magura,Khulna,Bangladesh,36.58670386
Babupara,Pangsha,Rajbari,Dhaka,Bangladesh,8.104869179
Babuti Para,Muradnagar,Comilla,Chittagong,Bangladesh,14.14955666
Bachamara,Daulatpur,Manikganj,Dhaka,Bangladesh,35.52317099
Bachor,Ranisankail,Thakurgaon,Rangpur,Bangladesh,35.30115415
Badair,Kasba,Brahamanbaria,Chittagong,Bangladesh,12.17162895
Badalgachhi,Badalgachhi,Naogaon,Rajshahi,Bangladesh,37.16688951
Badalkut,Chatkhil,Noakhali,Chittagong,Bangladesh,18.220913
Badalpur,Ajmiriganj,Habiganj,Sylhet,Bangladesh,68.45792915
Badar Pasha,Rajoir,Madaripur,Dhaka,Bangladesh,20.99905586
Badarganj,Badarganj,Rangpur,Rangpur,Bangladesh,29.09824656
Badarkhali,Barguna Sadar,Barguna,Barisal,Bangladesh,31.92999628
Badarkhali,Chakaria,Cox's Bazar,Chittagong,Bangladesh,21.54495596
Badarpur,Lalmohan,Bhola,Barisal,Bangladesh,37.82078317
Badarpur,Patuakhali Sadar,Patuakhali,Barisal,Bangladesh,22.1461315
Badda,Badda,Dhaka,Dhaka,Bangladesh,3.373494164
Badhair,Tanore,Rajshahi,Rajshahi,Bangladesh,44.37082651
